dataset_id,pmid,cell_type
N1_ncbi_literature,10021776,gamma delta T
N1_ncbi_literature,10037767,Naive CD4 T cell
N1_ncbi_literature,10048972,gamma delta T
N1_ncbi_literature,10049094,Naive CD8 T cell
N1_ncbi_literature,10049942,gamma delta T
N1_ncbi_literature,10050676,Memory CD4 T cell
N1_ncbi_literature,10050676,Naive CD4 T cell
N1_ncbi_literature,10064188,DN T cell
N1_ncbi_literature,10092834,Naive CD4 T cell
N1_ncbi_literature,10093541,gamma delta T
N1_ncbi_literature,10193416,Memory CD8 T cell
N1_ncbi_literature,10193416,Naive CD8 T cell
N1_ncbi_literature,10200551,Proliferating T cell
N1_ncbi_literature,10201895,Naive CD4 T cell
N1_ncbi_literature,10201895,Naive CD8 T cell
N1_ncbi_literature,10201968,gamma delta T
N1_ncbi_literature,10203055,Memory CD4 T cell
N1_ncbi_literature,10203056,Memory CD4 T cell
N1_ncbi_literature,10203056,Naive CD4 T cell
N1_ncbi_literature,10222061,Proliferating T cell
N1_ncbi_literature,10229269,DN T cell
N1_ncbi_literature,10229815,Naive CD4 T cell
N1_ncbi_literature,10232393,Memory CD4 T cell
N1_ncbi_literature,10319264,gamma delta T
N1_ncbi_literature,10328864,Memory CD4 T cell
N1_ncbi_literature,10328864,Memory CD8 T cell
N1_ncbi_literature,10329625,gamma delta T
N1_ncbi_literature,10329847,DN T cell
N1_ncbi_literature,10332632,gamma delta T
N1_ncbi_literature,10341318,gamma delta T
N1_ncbi_literature,10352314,Proliferating T cell
N1_ncbi_literature,10352544,gamma delta T
N1_ncbi_literature,10354865,gamma delta T
N1_ncbi_literature,10358213,Memory CD8 T cell
N1_ncbi_literature,10359807,gamma delta T
N1_ncbi_literature,10368677,gamma delta T
N1_ncbi_literature,10374699,gamma delta T
N1_ncbi_literature,10375549,Naive CD4 T cell
N1_ncbi_literature,10377186,DN T cell
N1_ncbi_literature,10384129,DN T cell
N1_ncbi_literature,10389232,gamma delta T
N1_ncbi_literature,10392257,gamma delta T
N1_ncbi_literature,10393205,Proliferating T cell
N1_ncbi_literature,10397538,Naive CD4 T cell
N1_ncbi_literature,10400736,Memory CD4 T cell
N1_ncbi_literature,10400736,Naive CD4 T cell
N1_ncbi_literature,10400756,Memory CD4 T cell
N1_ncbi_literature,10403915,gamma delta T
N1_ncbi_literature,10415061,gamma delta T
N1_ncbi_literature,10427972,Memory CD4 T cell
N1_ncbi_literature,10429766,gamma delta T
N1_ncbi_literature,10433941,gamma delta T
N1_ncbi_literature,10435579,gamma delta T
N1_ncbi_literature,10435718,gamma delta T
N1_ncbi_literature,10438320,gamma delta T
N1_ncbi_literature,10441210,gamma delta T
N1_ncbi_literature,10444028,Memory CD4 T cell
N1_ncbi_literature,10444028,Naive CD4 T cell
N1_ncbi_literature,10446984,Memory CD4 T cell
N1_ncbi_literature,10447121,Naive CD4 T cell
N1_ncbi_literature,10447730,Naive CD4 T cell
N1_ncbi_literature,10453529,gamma delta T
N1_ncbi_literature,10454344,Memory CD4 T cell
N1_ncbi_literature,10457223,Memory CD8 T cell
N1_ncbi_literature,10461825,Memory CD4 T cell
N1_ncbi_literature,10461825,Naive CD4 T cell
N1_ncbi_literature,10464168,DN T cell
N1_ncbi_literature,10476689,gamma delta T
N1_ncbi_literature,10479130,Naive CD4 T cell
N1_ncbi_literature,10479131,Naive CD4 T cell
N1_ncbi_literature,10480216,Memory CD4 T cell
N1_ncbi_literature,10480554,DN T cell
N1_ncbi_literature,10482358,Naive CD4 T cell
N1_ncbi_literature,10483243,gamma delta T
N1_ncbi_literature,10490985,gamma delta T
N1_ncbi_literature,10502987,gamma delta T
N1_ncbi_literature,10513643,Memory CD4 T cell
N1_ncbi_literature,10515216,Naive CD4 T cell
N1_ncbi_literature,10518558,DN T cell
N1_ncbi_literature,10540346,gamma delta T
N1_ncbi_literature,10544198,Proliferating T cell
N1_ncbi_literature,10545484,Memory CD4 T cell
N1_ncbi_literature,10563541,gamma delta T
N1_ncbi_literature,10583600,Naive CD4 T cell
N1_ncbi_literature,10589043,gamma delta T
N1_ncbi_literature,10590857,gamma delta T
N1_ncbi_literature,10593570,gamma delta T
N1_ncbi_literature,10594556,Naive CD4 T cell
N1_ncbi_literature,10599306,gamma delta T
N1_ncbi_literature,10602056,gamma delta T
N1_ncbi_literature,10607313,gamma delta T
N1_ncbi_literature,10607709,Memory CD8 T cell
N1_ncbi_literature,10607709,Naive CD4 T cell
N1_ncbi_literature,10636489,gamma delta T
N1_ncbi_literature,10636768,gamma delta T
N1_ncbi_literature,10652164,Memory CD8 T cell
N1_ncbi_literature,10654365,gamma delta T
N1_ncbi_literature,10666248,Memory CD4 T cell
N1_ncbi_literature,10666381,Memory CD4 T cell
N1_ncbi_literature,10668474,gamma delta T
N1_ncbi_literature,10682133,Naive CD8 T cell
N1_ncbi_literature,10691910,DN T cell
N1_ncbi_literature,10691922,Naive CD4 T cell
N1_ncbi_literature,10691922,Naive CD8 T cell
N1_ncbi_literature,10692989,gamma delta T
N1_ncbi_literature,10705689,Memory CD8 T cell
N1_ncbi_literature,10705689,Naive CD8 T cell
N1_ncbi_literature,10710207,Memory CD4 T cell
N1_ncbi_literature,10710207,Memory CD8 T cell
N1_ncbi_literature,10710207,Naive CD4 T cell
N1_ncbi_literature,10710207,Naive CD8 T cell
N1_ncbi_literature,10714563,Memory CD4 T cell
N1_ncbi_literature,10714563,Naive CD4 T cell
N1_ncbi_literature,10715437,Naive CD4 T cell
N1_ncbi_literature,10719671,gamma delta T
N1_ncbi_literature,10720515,Memory CD4 T cell
N1_ncbi_literature,10723942,gamma delta T
N1_ncbi_literature,10727456,gamma delta T
N1_ncbi_literature,10730077,gamma delta T
N1_ncbi_literature,10730271,Naive CD4 T cell
N1_ncbi_literature,10735602,gamma delta T
N1_ncbi_literature,10737767,Naive CD8 T cell
N1_ncbi_literature,10765929,gamma delta T
N1_ncbi_literature,10779432,Naive CD8 T cell
N1_ncbi_literature,10794056,Memory CD8 T cell
N1_ncbi_literature,10794062,Memory CD4 T cell
N1_ncbi_literature,10794062,Naive CD4 T cell
N1_ncbi_literature,10799873,Memory CD8 T cell
N1_ncbi_literature,10799873,Naive CD8 T cell
N1_ncbi_literature,10803023,gamma delta T
N1_ncbi_literature,10804726,Naive CD4 T cell
N1_ncbi_literature,10805798,Memory CD4 T cell
N1_ncbi_literature,10811014,DN T cell
N1_ncbi_literature,10812884,gamma delta T
N1_ncbi_literature,10816082,DN T cell
N1_ncbi_literature,10820389,Naive CD4 T cell
N1_ncbi_literature,10834314,Naive CD4 T cell
N1_ncbi_literature,10835322,Naive CD4 T cell
N1_ncbi_literature,10836250,DN T cell
N1_ncbi_literature,10837072,Memory CD4 T cell
N1_ncbi_literature,10837407,gamma delta T
N1_ncbi_literature,10838752,gamma delta T
N1_ncbi_literature,10851549,Memory CD4 T cell
N1_ncbi_literature,10852125,Memory CD4 T cell
N1_ncbi_literature,10852136,Naive CD4 T cell
N1_ncbi_literature,10871729,Naive CD4 T cell
N1_ncbi_literature,10871729,Naive CD8 T cell
N1_ncbi_literature,10878724,gamma delta T
N1_ncbi_literature,10879025,Proliferating T cell
N1_ncbi_literature,10882673,Proliferating T cell
N1_ncbi_literature,10886403,gamma delta T
N1_ncbi_literature,10887096,gamma delta T
N1_ncbi_literature,10888116,Memory CD4 T cell
N1_ncbi_literature,10891457,Naive CD4 T cell
N1_ncbi_literature,10899908,Naive CD4 T cell
N1_ncbi_literature,10903715,Memory CD8 T cell
N1_ncbi_literature,10906203,Memory CD8 T cell
