dataset_id,cell_type,label,query
N1_ncbi_literature,CD8aa,CD8aa,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""CD8aa""[Title/Abstract] OR ""CD8aas""[Title/Abstract])"
N1_ncbi_literature,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])"
N1_ncbi_literature,MAIT,MAIT,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""MAIT""[Title/Abstract] OR ""MAITs""[Title/Abstract])"
N1_ncbi_literature,Memory CD4 T cell,Memory CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD4 T cell""[Title/Abstract] OR ""Memory CD4 T cells""[Title/Abstract])"
N1_ncbi_literature,Memory CD8 T cell,Memory CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD8 T cell""[Title/Abstract] OR ""Memory CD8 T cells""[Title/Abstract])"
N1_ncbi_literature,Naive CD4 T cell,Naive CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD4 T cell""[Title/Abstract] OR ""Naive CD4 T cells""[Title/Abstract])"
N1_ncbi_literature,Naive CD8 T cell,Naive CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD8 T cell""[Title/Abstract] OR ""Naive CD8 T cells""[Title/Abstract])"
N1_ncbi_literature,Proliferating T cell,Proliferating T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Proliferating T cell""[Title/Abstract] OR ""Proliferating T cells""[Title/Abstract])"
N1_ncbi_literature,Treg,Treg,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Treg""[Title/Abstract] OR ""Tregs""[Title/Abstract])"
N1_ncbi_literature,gamma delta T,gamma delta T,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""gamma delta T""[Title/Abstract] OR ""gamma delta Ts""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,CD8aa,CD8aa,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""CD8aa""[Title/Abstract] OR ""CD8aas""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,MAIT,MAIT,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""MAIT""[Title/Abstract] OR ""MAITs""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Memory CD4 T cell,Memory CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD4 T cell""[Title/Abstract] OR ""Memory CD4 T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Memory CD8 T cell,Memory CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD8 T cell""[Title/Abstract] OR ""Memory CD8 T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Naive CD4 T cell,Naive CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD4 T cell""[Title/Abstract] OR ""Naive CD4 T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Naive CD8 T cell,Naive CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD8 T cell""[Title/Abstract] OR ""Naive CD8 T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Proliferating T cell,Proliferating T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Proliferating T cell""[Title/Abstract] OR ""Proliferating T cells""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,Treg,Treg,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Treg""[Title/Abstract] OR ""Tregs""[Title/Abstract])"
N3_ncbi_literature_shuffled_labels,gamma delta T,gamma delta T,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""gamma delta T""[Title/Abstract] OR ""gamma delta Ts""[Title/Abstract])"
