label,AIFI_L2,source,hiai_label,canonical_label,cell_ontology_id,cell_ontology_label,PMID,Title,Abstract,Query,disease,sentence1,token_length,type,knowledge_source,cl_sentence_index,positive_markers
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,A gamma-delta intraepithelial T cell that has the phenotype CD8-alpha alpha-positive.,14,cl_definition,cell_ontology_definition,0,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"The CD8-alpha alpha positive, gamma-delta intraepithelial T cell are a subset of intraepithelial lymphocytes (IELs), a highly heterogeneous population of immune cell that resides within the epithelial layer of mucosal barriers.",33,cl_description_sentence,cell_ontology_description,0,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell are predominantly found in the gastrointestinal tract.",16,cl_description_sentence,cell_ontology_description,1,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,They are characterized by the expression of both CD8-alpha-alpha homodimer and the gamma-delta (γδ) variant of the T cell receptor (TCR).,24,cl_description_sentence,cell_ontology_description,2,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"CD8-alpha alpha positive, gamma-delta are thought to represent the most typical γδ IEL subset in the intestine.",19,cl_description_sentence,cell_ontology_description,3,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,The IELs in the intestines are constantly and directly exposed to antigens in the gut lumen and form the first line of immune defense against invading pathogens.,27,cl_description_sentence,cell_ontology_description,4,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"Unlike conventional T cells, IELs in the intestine are antigen-experienced and do not require priming.",16,cl_description_sentence,cell_ontology_description,5,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"CD8-alpha alpha positive, gamma-delta intraepithelial T cells fall into a subgroup of ‘natural’ IELs, which acquire their activated phenotype in an ‘alternative’ self-antigen-based maturation process in the thymus.",32,cl_description_sentence,cell_ontology_description,6,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell have several key functions.",13,cl_description_sentence,cell_ontology_description,7,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"They help maintain the integrity of the epithelium and repair the epithelial barriers in response to physical and inflammatory injury by secreting various factors, including TGFβ1, TGFβ3 and keratinocyte growth factor (KGF).",32,cl_description_sentence,cell_ontology_description,8,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"These cells also provide immediate, front-line defense against pathogens.",10,cl_description_sentence,cell_ontology_description,9,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,They retain the ability to respond directly to stress-associated and infected cells independent of antigen-presenting cells and major histocompatibility complex molecules.,23,cl_description_sentence,cell_ontology_description,10,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,They do this through recognition of antigens present on the surfaces of stressed or infected cells.,16,cl_description_sentence,cell_ontology_description,11,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"Once activated, these cells initiate a rapid immune response by releasing cytotoxic granules and engaging death receptors, processes that eliminate harmful cells.",22,cl_description_sentence,cell_ontology_description,12,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"Furthermore, CD8-alpha alpha positive, gamma-delta intraepithelial T cells have been implicated in regulatory functions, including in antibody class switching and immunoglobulin A (IgA) production and IL-10-dependent oral tolerance.",32,cl_description_sentence,cell_ontology_description,13,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"Dysregulation CD8-alpha alpha positive, gamma-delta intraepithelial T cells is linked to several inflammatory disorders including celiac disease, inflammatory bowel disease, and others.",24,cl_description_sentence,cell_ontology_description,14,
CD8aa,CD8aa,CL,CD8aa,CD8aa,CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",,,,,,"Therefore, the CD8-alpha alpha positive, gamma-delta intraepithelial T cell plays a significant role in not only direct pathogen defense but also in the maintenance of epithelial tissue integrity and homeostasis.",32,cl_description_sentence,cell_ontology_description,15,
CD8aa,CD8aa,CL,CD8aa,CD8aa,,,,,,,,"CD8aa positive marker genes include CD8A, TRAC and CD3D.",9,sctype_positive_marker_genes,sctype_positive_marker_genes,0,CD8A;TRAC;CD3D
DN T cell,DN T cell,CL,DN T cell,DN T cell,CL:0002489,double negative thymocyte,,,,,,A thymocyte that lacks expression of CD4 and CD8.,9,cl_definition,cell_ontology_definition,0,
DN T cell,DN T cell,CL,DN T cell,DN T cell,,,,,,,,"DN T cell positive marker genes include TRAC, CD3D and CD3E.",11,sctype_positive_marker_genes,sctype_positive_marker_genes,0,TRAC;CD3D;CD3E
MAIT,MAIT,CL,MAIT,MAIT,CL:0000940,mucosal-associated invariant T cell,,,,,,"An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule. This cell develops from double-positive, alpha-beta thymocyte.",32,cl_definition,cell_ontology_definition,0,
MAIT,MAIT,CL,MAIT,MAIT,,,,,,,,"MAIT positive marker genes include SLC4A10, KLRB1, TRAV1-2, IL7R and DPP4.",12,sctype_positive_marker_genes,sctype_positive_marker_genes,0,SLC4A10;KLRB1;TRAV1-2;IL7R;DPP4
Memory CD4 T cell,Memory CD4 T cell,CL,Memory CD4 T cell,Memory CD4 T cell,CL:0000897,"CD4-positive, alpha-beta memory T cell",,,,,,"A CD4-positive, alpha-beta T cell that has differentiated into a memory T cell.",15,cl_definition,cell_ontology_definition,0,
Memory CD4 T cell,Memory CD4 T cell,CL,Memory CD4 T cell,Memory CD4 T cell,,,,,,,,"Memory CD4 T cell positive marker genes include CD3D, CD4, IL7R, CCR7 and LTB.",14,sctype_positive_marker_genes,sctype_positive_marker_genes,0,CD3D;CD4;IL7R;CCR7;LTB
Memory CD8 T cell,Memory CD8 T cell,CL,Memory CD8 T cell,Memory CD8 T cell,CL:0000909,"CD8-positive, alpha-beta memory T cell",,,,,,"A CD8-positive, alpha-beta T cell that has differentiated into a memory T cell.",15,cl_definition,cell_ontology_definition,0,
Memory CD8 T cell,Memory CD8 T cell,CL,Memory CD8 T cell,Memory CD8 T cell,,,,,,,,"Memory CD8 T cell positive marker genes include CD3D, CD8A, CD8B, GZMK and CCL5.",14,sctype_positive_marker_genes,sctype_positive_marker_genes,0,CD3D;CD8A;CD8B;GZMK;CCL5
Naive CD4 T cell,Naive CD4 T cell,CL,Naive CD4 T cell,Naive CD4 T cell,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,"An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low.",41,cl_definition,cell_ontology_definition,0,
Naive CD4 T cell,Naive CD4 T cell,CL,Naive CD4 T cell,Naive CD4 T cell,,,,,,,,"Naive CD4 T cell positive marker genes include CD3D, CD4, CCR7, LEF1, TCF7 and SELL.",15,sctype_positive_marker_genes,sctype_positive_marker_genes,0,CD3D;CD4;CCR7;LEF1;TCF7;SELL
Naive CD8 T cell,Naive CD8 T cell,CL,Naive CD8 T cell,Naive CD8 T cell,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",,,,,,"A CD8-positive, alpha-beta T cell that has not experienced activation via antigen contact and has the phenotype CD45RA-positive, CCR7-positive and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low.",41,cl_definition,cell_ontology_definition,0,
Naive CD8 T cell,Naive CD8 T cell,CL,Naive CD8 T cell,Naive CD8 T cell,,,,,,,,"Naive CD8 T cell positive marker genes include CD3D, CD8A, CD8B, CCR7, LEF1 and TCF7.",15,sctype_positive_marker_genes,sctype_positive_marker_genes,0,CD3D;CD8A;CD8B;CCR7;LEF1;TCF7
Proliferating T cell,Proliferating T cell,CL,Proliferating T cell,Proliferating T cell,CL:4033069,cycling T cell,,,,,,A(n) T cell that is cycling.,7,cl_definition,cell_ontology_definition,0,
Proliferating T cell,Proliferating T cell,CL,Proliferating T cell,Proliferating T cell,,,,,,,,"Proliferating T cell positive marker genes include MKI67, TOP2A, CD3D and TRAC.",12,sctype_positive_marker_genes,sctype_positive_marker_genes,0,MKI67;TOP2A;CD3D;TRAC
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"A CD4-positive, CD25-positive, alpha-beta T cell that regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.",32,cl_definition,cell_ontology_definition,0,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"The CD4-positive, CD25-positive, alpha-beta regulatory T (Treg) cell serves as a vital element in the mammalian immune system, playing a pivotal role in maintaining immune homeostasis and preventing autoimmunity.",32,cl_description_sentence,cell_ontology_description,0,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,This particular T regulatory cell is characterized by CD4 proteins and a high level of CD25 (the alpha chain of the interleukin-2 receptor) on its cell surface.,28,cl_description_sentence,cell_ontology_description,1,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"The T-cell receptor (TCR) of these Treg cells is composed of alpha and beta protein chains, making them a subtype of the alpha-beta T cell population that recognize and bind to antigens presented by MHC class II molecules.",40,cl_description_sentence,cell_ontology_description,2,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"The primary function of CD4-positive, CD25-positive, alpha-beta Treg cells is regulating immune responses, ensuring that the immune response is proportionate and preventing autoimmunity, maintaining peripheral immune tolerance, and limiting chronic inflammation.",34,cl_description_sentence,cell_ontology_description,3,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"They achieve this regulation by suppressing or downregulating the proliferation of effector immune cells, which are activated in response to antigens, to prevent their excessive or uncontrolled activity.",28,cl_description_sentence,cell_ontology_description,4,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"CD4-positive, CD25-positive, alpha-beta Treg cells can suppress immune responses via a variety of mechanisms, including the release of inhibitory cytokines, in particular IL-10 and TGFβ, or through cytolysis of effector immune cells (e.g.",38,cl_description_sentence,cell_ontology_description,5,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,antibody-producing B cells) involving perforin and granzymes.,8,cl_description_sentence,cell_ontology_description,6,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"They can also modulate the maturation or function of dendritic cells, which are key antigen-presenting cells, and thereby reduce their ability to stimulate effector T cells.",27,cl_description_sentence,cell_ontology_description,7,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,This downregulation also suppresses effector T cell functions against self-antigens—proteins that are innate to the body—to prevent autoimmunity.,21,cl_description_sentence,cell_ontology_description,8,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"In essence, Treg cells act as a policing force within the immune system to maintain balance and prevent overreaction which can potentially lead to damaging effects.",26,cl_description_sentence,cell_ontology_description,9,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"Besides their crucial role in preventing autoimmunity, CD4-positive, CD25-positive, alpha-beta Treg cells contribute to other functions such as tumor immune evasion, maternal-fetal tolerance, and transplantation tolerance.",30,cl_description_sentence,cell_ontology_description,10,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"By suppressing the cytotoxic T cell response, these cells may inadvertently help tumor cells evade destruction, contributing to cancer progression.",20,cl_description_sentence,cell_ontology_description,11,
Treg,Treg,CL,Treg,Treg,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",,,,,,"However, this characteristic can be potentially manipulated for therapeutic applications in immune-related diseases or transplantation, further highlighting the potential and importance of CD4-positive, CD25-positive, alpha-beta regulatory T cells in immune regulation.",35,cl_description_sentence,cell_ontology_description,12,
Treg,Treg,CL,Treg,Treg,,,,,,,,"Treg positive marker genes include FOXP3, IL2RA, CTLA4, TIGIT and IKZF2.",11,sctype_positive_marker_genes,sctype_positive_marker_genes,0,FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
